lc_number,t_0,t_E,m_base,chi_binary,chi_triple,dchi,n_data,dchi2_f,q12,q13,s12,s13
1,56.79882,10.27377,21.71583,1408.63,11583.39,10174.76,1470,47.9086219,0.002,0.001,1.462,1.467
2,24.17217,9.28643,19.63812,1696.86,41785.46,40088.6,1765,515.8843583,0.001,0.0007,1.462,1.467
3,29.7468,13.10832,21.61404,2442.21,23787.18,21344.97,2491,73.42494712,0.002,0.001,1.611,1.399
4,47.69251,11.16603,19.64898,2051.71,42505.9,40454.19,2122,363.4429598,0.002,0.001,1.578,1.35
5,2.32882,9.40844,18.21603,1019.61,24101.93,23082.32,1115,428.5575793,0.002,0.001,1.654,1.563
6,17.39961,14.94686,17.97445,2798.03,266120.29,263322.26,2840,8596.83255,0.002,0.001,1.622,1.527
7,38.27255,19.95229,18.53651,3694.64,322767.63,319072.99,3791,7083.901525,0.002,0.001,1.62,1.151
8,55.19091,14.77393,20.44165,2054.45,147244.24,145189.78,2051,5011.188895,0.001,0.002,1.62,1.151
9,44.37658,10.06564,20.50358,1760.35,50891.01,49130.66,1913,659.5918131,0.001,0.002,1.62,1.056
10,18.38004,15.76337,20.4629,2904.02,74193.24,71289.22,2995,566.5706493,0.002,0.001,1.603,1.211
11,8.1392,5.05443,19.00693,923.96,209856.1,208932.14,961,47267.61939,0.002,0.002,1.603,1.211
12,30.82926,14.10854,20.05738,2698.52,1056286.28,1053587.76,2681,154435.7371,0.003,0.004,1.603,1.211
13,7.37875,11.34132,21.24433,1796.18,121931.25,120135.07,1778,4565.371236,0.003,0.004,1.651,1.167
14,9.31688,19.45509,19.53579,2668.9,70578.86,67909.96,2733,617.4299411,0.004,0.0006,1.651,1.181
15,12.79751,19.55007,18.71411,3034.84,187882.74,184847.9,3072,3620.650624,0.004,0.0006,1.651,0.954
16,53.30792,21.22609,17.50039,2715.64,588278.45,585562.81,2842,42452.06546,0.01,0.0009,1.232,1.337
17,53.82441,11.66091,21.11378,1836.71,22318.79,20482.07,1885,118.0660362,0.001,0.0008,1.4,1.232
18,12.75147,19.92334,17.87134,3024.38,50532.61,47508.22,3103,234.4088297,0.01,0.0003,1.385,1.189
19,29.21406,15.86001,17.94689,3066.39,85222.23,82155.84,3013,743.4959678,0.01,0.0005,1.385,1.189
